what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1305333109882
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1305333109882
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1305333109882
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1305333109882
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1305333109882
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1305333109882
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1305333109882
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1305333109882
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1305333109882
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1305333109882
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1305333109882
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1305333109882
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1305333109882
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1305333109882
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1305333109882
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1305333109882
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1305333109882
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1305333109882
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1305333109882
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1305333109882
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1305333109882
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1305333109882
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1305333109882
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1305333109882
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1305333109882
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1305333109882
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1305333109882
started,bundle,org.eclipse.contribution.weaving.jdt,2.1.3.e36x-20110510-1300,"org.eclipse.contribution.weaving.jdt",1305333109882
started,bundle,org.eclipse.equinox.weaving.aspectj,1.0.0.v20100503,"org.eclipse.equinox.weaving.aspectj",1305333109882
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1305333109882
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1305333109882
started,bundle,org.scala-ide.sdt.aspects,2.0.0.201105131126-beta4-92f1b27,"org.scala-ide.sdt.aspects",1305333109882
started,bundle,org.scala-ide.sdt.core,2.0.0.201105131126-beta4-92f1b27,"org.scala-ide.sdt.core",1305333109882
started,bundle,com.amazonaws.eclipse.core,1.0.5.v201101181646,"com.amazonaws.eclipse.core",1305333109882
started,bundle,com.amazonaws.eclipse.elasticbeanstalk,1.0.0.v201105031407,"com.amazonaws.eclipse.elasticbeanstalk",1305333109882
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1305333109882
started,bundle,com.springsource.sts.ide.configurator,2.6.0.201105041000-RELEASE,"com.springsource.sts.ide.configurator",1305333109882
started,bundle,com.springsource.sts.ide.ui,2.6.0.201105041000-RELEASE,"com.springsource.sts.ide.ui",1305333109882
started,bundle,org.eclipse.jst.server.tomcat.core,1.1.203.v20110201,"org.eclipse.jst.server.tomcat.core",1305333109882
started,bundle,org.springframework.ide.eclipse.aop.core,2.6.0.201103160035-RELEASE,"org.springframework.ide.eclipse.aop.core",1305333109882
started,bundle,org.springframework.ide.eclipse.aop.ui,2.6.0.201103160035-RELEASE,"org.springframework.ide.eclipse.aop.ui",1305333109882
started,bundle,org.springframework.ide.eclipse.beans.core,2.6.0.201103160035-RELEASE,"org.springframework.ide.eclipse.beans.core",1305333109882
started,bundle,org.springframework.ide.eclipse.beans.ui,2.6.0.201103160035-RELEASE,"org.springframework.ide.eclipse.beans.ui",1305333109882
started,bundle,org.springframework.ide.eclipse.core,2.6.0.201103160035-RELEASE,"org.springframework.ide.eclipse.core",1305333109882
started,bundle,org.springframework.ide.eclipse.osgi.targetdefinition,2.6.0.201103160035-RELEASE,"org.springframework.ide.eclipse.osgi.targetdefinition",1305333109882
started,bundle,org.springframework.ide.eclipse.ui,2.6.0.201103160035-RELEASE,"org.springframework.ide.eclipse.ui",1305333109882
os,sysinfo,,,"macosx",1305333109885
arch,sysinfo,,,"x86_64",1305333109885
ws,sysinfo,,,"cocoa",1305333109885
locale,sysinfo,,,"en_US",1305333109885
processors,sysinfo,,,"2",1305333109885
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1305333109885
java.runtime.version,sysinfo,,,"1.6.0_24-b07-334-10M3326",1305333109885
java.specification.name,sysinfo,,,"Java Platform API Specification",1305333109885
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1305333109885
java.specification.version,sysinfo,,,"1.6",1305333109885
java.vendor,sysinfo,,,"Apple Inc.",1305333109885
java.version,sysinfo,,,"1.6.0_24",1305333109885
java.vm.info,sysinfo,,,"mixed mode",1305333109885
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1305333109885
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1305333109885
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1305333109885
java.vm.specification.version,sysinfo,,,"1.0",1305333109885
java.vm.vendor,sysinfo,,,"Apple Inc.",1305333109885
java.vm.version,sysinfo,,,"19.1-b02-334",1305333109885
started,bundle,org.springframework.ide.eclipse.uaa,2.6.0.201103160035-RELEASE,"org.springframework.ide.eclipse.uaa",1305333110220
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.core",1305333111093
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305333115334
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305333117169
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305333124380
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1305333159007
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1305333159010
started,bundle,org.eclipse.jdt.launching.macosx,3.2.100.v20100505,"org.eclipse.jdt.launching.macosx",1305333159049
started,bundle,org.aspectj.ajde,1.6.11.20110304135300,"org.aspectj.ajde",1305333662194
started,bundle,org.eclipse.ajdt.core,2.1.2.e36x-20110307-1000,"org.eclipse.ajdt.core",1305333662300
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1305333662507
started,bundle,org.eclipse.ajdt.ui,2.1.2.e36x-20110307-1000,"org.eclipse.ajdt.ui",1305333662755
started,bundle,com.springsource.sts.quickfix,2.6.0.201105041000-RELEASE,"com.springsource.sts.quickfix",1305333663508
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1305333663631
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1305333663646
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1305333667320
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1305333667346
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1305333667534
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1305333667566
started,bundle,org.eclipse.jem.util,2.1.3.v201012070000,"org.eclipse.jem.util",1305333667596
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1305333667621
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1305333667623
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1305333667729
started,bundle,org.eclipse.wst.common.modulecore,1.2.5.v201101270100,"org.eclipse.wst.common.modulecore",1305333667733
started,bundle,org.eclipse.jst.j2ee.core,1.2.4.v201102101900,"org.eclipse.jst.j2ee.core",1305333667738
started,bundle,org.eclipse.jem,2.0.400.v201005110200,"org.eclipse.jem",1305333667747
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1305333667787
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1305333667802
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1305333667840
started,bundle,org.eclipse.jst.j2ee,1.1.404.v201102081800,"org.eclipse.jst.j2ee",1305333667883
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1305333667888
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1305333667899
