what,kind,bundleId,bundleVersion,description,time
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1305382387143
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1305382387143
java.vm.specification.version,sysinfo,,,"1.0",1305382387143
java.vm.vendor,sysinfo,,,"Apple Inc.",1305382387143
java.vm.version,sysinfo,,,"19.1-b02-334",1305382387143
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1305382387238
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1305382387335
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1305382387343
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1305382387406
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1305382387505
started,bundle,com.amazonaws.eclipse.elasticbeanstalk,1.0.0.v201105031407,"com.amazonaws.eclipse.elasticbeanstalk",1305382387510
started,bundle,org.springframework.ide.eclipse.osgi.targetdefinition,2.6.0.201103160035-RELEASE,"org.springframework.ide.eclipse.osgi.targetdefinition",1305382387553
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.core",1305382387689
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1305382387704
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1305382387705
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1305382387718
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1305382387767
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1305382387915
started,bundle,org.springframework.ide.eclipse.uaa,2.6.0.201103160035-RELEASE,"org.springframework.ide.eclipse.uaa",1305382388012
started,bundle,com.springsource.sts.ui,2.6.0.201105041000-RELEASE,"com.springsource.sts.ui",1305382388360
started,bundle,com.springsource.sts.core,2.6.0.201105041000-RELEASE,"com.springsource.sts.core",1305382388846
started,bundle,com.springsource.sts.wizard,2.6.0.201105041000-RELEASE,"com.springsource.sts.wizard",1305382389766
started,bundle,com.springsource.sts.content.core,2.6.0.201105041000-RELEASE,"com.springsource.sts.content.core",1305382389831
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100906-1425,"org.eclipse.ecf.filetransfer",1305382390097
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100906-1425,"org.eclipse.ecf.identity",1305382390115
started,bundle,org.eclipse.ecf,3.1.0.v20100906-1425,"org.eclipse.ecf",1305382390151
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer.httpclient",1305382390185
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer",1305382390188
opened,editor,com.springsource.sts.ide.ui,2.6.0.201105041000-RELEASE,"com.springsource.sts.internal.ide.ui.editors.MultiPageDashboardEditor",1305382390324
activated,editor,com.springsource.sts.ide.ui,2.6.0.201105041000-RELEASE,"com.springsource.sts.internal.ide.ui.editors.MultiPageDashboardEditor",1305382390346
started,bundle,com.springsource.sts.quickfix,2.6.0.201105041000-RELEASE,"com.springsource.sts.quickfix",1305382390699
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1305382390728
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1305382390735
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1305382391530
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1305382392201
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1305382392322
started,bundle,com.springsource.sts,2.6.1.201105041000-RELEASE,"com.springsource.sts",1305382392322
error,log,,,"Project facet grails.app has not been defined. It is used in plugin com.cloudfoundry.sts.server.ui.branding.",1305382394368
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1305382394393
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1305382394423
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1305382394602
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1305382394683
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1305382394719
started,bundle,org.eclipse.jem.util,2.1.3.v201012070000,"org.eclipse.jem.util",1305382394784
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1305382394795
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1305382394797
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1305382394926
started,bundle,org.eclipse.wst.common.modulecore,1.2.5.v201101270100,"org.eclipse.wst.common.modulecore",1305382394929
started,bundle,org.eclipse.jst.j2ee.core,1.2.4.v201102101900,"org.eclipse.jst.j2ee.core",1305382394932
started,bundle,org.eclipse.jem,2.0.400.v201005110200,"org.eclipse.jem",1305382394972
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1305382395102
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1305382395104
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1305382395115
started,bundle,org.eclipse.jst.j2ee,1.1.404.v201102081800,"org.eclipse.jst.j2ee",1305382395177
started,bundle,org.eclipse.jem.workbench,2.0.300.v200910290230,"org.eclipse.jem.workbench",1305382395353
started,bundle,com.springsource.sts.config.ui,2.6.0.201105041000-RELEASE,"com.springsource.sts.config.ui",1305382395467
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305382396008
started,bundle,org.eclipse.wst.dtd.core,1.1.401.v201101122255,"org.eclipse.wst.dtd.core",1305382396172
started,bundle,org.eclipse.wst.xsd.core,1.1.503.v201011121919,"org.eclipse.wst.xsd.core",1305382396192
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1305382396546
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1305382397164
started,bundle,org.eclipse.jst.common.frameworks,1.1.403.v201012160000,"org.eclipse.jst.common.frameworks",1305382397173
started,bundle,org.eclipse.jst.jee,1.0.302.v201101122300,"org.eclipse.jst.jee",1305382397177
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305382398154
activated,editor,com.springsource.sts.ide.ui,2.6.0.201105041000-RELEASE,"com.springsource.sts.internal.ide.ui.editors.MultiPageDashboardEditor",1305382408494
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1305382408671
closed,editor,com.springsource.sts.ide.ui,2.6.0.201105041000-RELEASE,"com.springsource.sts.internal.ide.ui.editors.MultiPageDashboardEditor",1305382408673
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.perspectives.showPerspective",1305382415297
executed,command,,,"com.amazonaws.eclipse.ec2.perspective",1305382415298
started,bundle,org.springframework.ide.eclipse.webflow.ui,2.6.0.201103160035-RELEASE,"org.springframework.ide.eclipse.webflow.ui",1305382422735
started,bundle,org.springframework.ide.eclipse.webflow.core,2.6.0.201103160035-RELEASE,"org.springframework.ide.eclipse.webflow.core",1305382422756
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1305382426006
